store_id,store_name,store_type,city,province,region,latitude,longitude,opening_date,store_size_sqm,monthly_rent,manager_id
STR0031,MegaMart Hypermarket Balikpapan 31,HYPERMARKET,Balikpapan,Kalimantan Timur,KALIMANTAN_TIMUR,-7.098823,107.798565,2024-05-17,500,22517517,EMP4872
STR0032,MegaMart Hypermarket Solo 32,HYPERMARKET,Solo,Jawa Tengah,JAWA_TENGAH,-6.228718,106.227495,2019-07-01,500,32097220,EMP7209
STR0033,MegaMart Hypermarket Jakarta Timur 33,HYPERMARKET,Jakarta Timur,DKI Jakarta,JABODETABEK,-6.669594,107.368141,2020-02-07,2000,66775103,EMP8973
STR0034,MegaMart Hypermarket Semarang 34,HYPERMARKET,Semarang,Jawa Tengah,JAWA_TENGAH,-6.606584,107.737419,2021-06-30,10000,18181586,EMP6138
STR0035,MegaMart Hypermarket Jakarta Selatan 35,HYPERMARKET,Jakarta Selatan,DKI Jakarta,JABODETABEK,-6.031645,106.805701,2024-07-24,10000,31130263,EMP1931
STR0036,MegaMart Express Balikpapan 1,EXPRESS,Balikpapan,Kalimantan Timur,KALIMANTAN_TIMUR,-5.497315,105.937043,2015-10-06,300,41568532,EMP7615
STR0037,MegaMart Express Cirebon 2,EXPRESS,Cirebon,Jawa Barat,JABODETABEK,-6.707569,106.989038,2021-12-11,100,66267415,EMP9565
STR0038,MegaMart Express Binjai 3,EXPRESS,Binjai,Sumatera Utara,SUMATERA_UTARA,-6.791482,107.232384,2017-09-04,200,63121477,EMP3144
STR0039,MegaMart Express Tangerang Selatan 4,EXPRESS,Tangerang Selatan,Banten,JABODETABEK,-6.567646,107.303729,2015-10-25,100,71510041,EMP2638
STR0040,MegaMart Express Cirebon 5,EXPRESS,Cirebon,Jawa Barat,JABODETABEK,-6.773691,106.330401,2018-11-30,100,42787299,EMP7054
STR0041,MegaMart Express Tangerang 6,EXPRESS,Tangerang,Banten,JABODETABEK,-6.323631,106.886436,2018-05-24,300,97775215,EMP9666
STR0042,MegaMart Express Jakarta Utara 7,EXPRESS,Jakarta Utara,DKI Jakarta,JABODETABEK,-6.601242,107.126777,2024-11-05,100,45496015,EMP2891
STR0043,MegaMart Express Cirebon 8,EXPRESS,Cirebon,Jawa Barat,JABODETABEK,-6.889104,106.363513,2017-05-12,300,56020613,EMP4335
STR0044,MegaMart Express Serang 9,EXPRESS,Serang,Banten,JABODETABEK,-6.222936,107.610673,2024-06-27,100,22388090,EMP7939
STR0045,MegaMart Express Tangerang 10,EXPRESS,Tangerang,Banten,JABODETABEK,-7.192909,107.342238,2022-02-22,200,31687165,EMP8239
STR0046,MegaMart Express Samarinda 11,EXPRESS,Samarinda,Kalimantan Timur,KALIMANTAN_TIMUR,-6.078186,106.023748,2024-11-26,300,30005727,EMP9938
STR0047,MegaMart Express Jakarta Barat 12,EXPRESS,Jakarta Barat,DKI Jakarta,JABODETABEK,-6.034981,106.096188,2016-06-06,100,51373735,EMP6974
STR0048,MegaMart Express Jakarta Barat 13,EXPRESS,Jakarta Barat,DKI Jakarta,JABODETABEK,-6.779847,106.299059,2016-02-26,200,85146293,EMP7658
STR0049,MegaMart Express Yogyakarta 14,EXPRESS,Yogyakarta,Yogyakarta,YOGYAKARTA,-5.348472,106.273475,2016-10-27,100,65337219,EMP1406
STR0050,MegaMart Express Magelang 15,EXPRESS,Magelang,Jawa Tengah,JAWA_TENGAH,-5.351025,107.364773,2019-08-14,300,43308443,EMP5371
STR0051,MegaMart Express Magelang 16,EXPRESS,Magelang,Jawa Tengah,JAWA_TENGAH,-6.983809,107.544334,2024-08-17,200,39854548,EMP4269
STR0052,MegaMart Express Badung 17,EXPRESS,Badung,Bali,BALI,-6.589618,107.390691,2017-07-21,100,13176186,EMP4164
STR0053,MegaMart Express Makassar 18,EXPRESS,Makassar,Sulawesi Selatan,SULAWESI_SELATAN,-6.642794,105.938842,2023-09-03,200,57130035,EMP9346
STR0054,MegaMart Express Makassar 19,EXPRESS,Makassar,Sulawesi Selatan,SULAWESI_SELATAN,-5.321526,106.030684,2017-12-05,100,87925434,EMP5349
STR0055,MegaMart Express Jakarta Selatan 20,EXPRESS,Jakarta Selatan,DKI Jakarta,JABODETABEK,-6.006857,106.491374,2023-10-27,200,68571795,EMP9379
STR0056,MegaMart Express Bogor 21,EXPRESS,Bogor,Jawa Barat,JABODETABEK,-5.400991,106.180158,2015-07-01,300,68526649,EMP1027
STR0057,MegaMart Express Balikpapan 22,EXPRESS,Balikpapan,Kalimantan Timur,KALIMANTAN_TIMUR,-6.471557,105.939948,2022-06-13,200,93638503,EMP6143
STR0058,MegaMart Express Depok 23,EXPRESS,Depok,Jawa Barat,JABODETABEK,-6.185755,107.133786,2018-08-29,200,49682169,EMP3085
STR0059,MegaMart Express Malang 24,EXPRESS,Malang,Jawa Timur,JAWA_TIMUR,-5.870141,106.558291,2023-05-23,100,92613013,EMP5930
STR0060,MegaMart Express Makassar 25,EXPRESS,Makassar,Sulawesi Selatan,SULAWESI_SELATAN,-6.59225,106.220365,2023-10-24,300,91424737,EMP6279
STR0061,MegaMart Express Badung 26,EXPRESS,Badung,Bali,BALI,-6.31568,106.227403,2020-04-22,300,32775593,EMP2389
STR0062,MegaMart Express Serang 27,EXPRESS,Serang,Banten,JABODETABEK,-5.872292,107.038522,2016-01-18,100,51663795,EMP4680
STR0063,MegaMart Express Surabaya 28,EXPRESS,Surabaya,Jawa Timur,JAWA_TIMUR,-7.151149,106.289685,2020-04-30,300,19774839,EMP8461
STR0064,MegaMart Express Makassar 29,EXPRESS,Makassar,Sulawesi Selatan,SULAWESI_SELATAN,-5.763308,106.567957,2019-06-25,100,29806690,EMP1090
STR0065,MegaMart Express Bogor 30,EXPRESS,Bogor,Jawa Barat,JABODETABEK,-6.762318,107.40822,2022-10-21,300,72350830,EMP1822
STR0066,MegaMart Express Balikpapan 31,EXPRESS,Balikpapan,Kalimantan Timur,KALIMANTAN_TIMUR,-5.36506,106.042717,2016-06-30,200,99600766,EMP9702
STR0067,MegaMart Express Samarinda 32,EXPRESS,Samarinda,Kalimantan Timur,KALIMANTAN_TIMUR,-5.299921,107.582852,2021-11-14,300,77750178,EMP7991
STR0068,MegaMart Express Samarinda 33,EXPRESS,Samarinda,Kalimantan Timur,KALIMANTAN_TIMUR,-5.405584,107.287311,2020-04-28,200,44788100,EMP5050
STR0069,MegaMart Express Serang 34,EXPRESS,Serang,Banten,JABODETABEK,-6.230806,106.278492,2019-12-07,100,48349783,EMP4841
STR0070,MegaMart Express Tangerang Selatan 35,EXPRESS,Tangerang Selatan,Banten,JABODETABEK,-6.560581,106.880304,2016-07-20,100,41039390,EMP7275
STR0071,MegaMart Express Magelang 36,EXPRESS,Magelang,Jawa Tengah,JAWA_TENGAH,-6.772094,106.629736,2018-09-17,300,72535301,EMP7812
STR0072,MegaMart Express Jakarta Pusat 37,EXPRESS,Jakarta Pusat,DKI Jakarta,JABODETABEK,-5.534218,106.578954,2023-08-20,300,12621534,EMP7232
STR0073,MegaMart Express Denpasar 38,EXPRESS,Denpasar,Bali,BALI,-5.314517,106.397225,2019-05-17,200,82238741,EMP9947
STR0074,MegaMart Express Yogyakarta 39,EXPRESS,Yogyakarta,Yogyakarta,YOGYAKARTA,-6.223541,106.345871,2020-06-12,100,62191530,EMP6507
STR0075,MegaMart Express Makassar 40,EXPRESS,Makassar,Sulawesi Selatan,SULAWESI_SELATAN,-5.518989,107.639083,2021-12-23,300,13619375,EMP7455
STR0076,MegaMart Express Yogyakarta 41,EXPRESS,Yogyakarta,Yogyakarta,YOGYAKARTA,-7.032105,106.657226,2024-09-20,200,34391257,EMP1823
STR0077,MegaMart Express Tangerang Selatan 42,EXPRESS,Tangerang Selatan,Banten,JABODETABEK,-6.545295,106.709399,2018-10-14,200,47346970,EMP7906
STR0078,MegaMart Express Tangerang 43,EXPRESS,Tangerang,Banten,JABODETABEK,-6.259386,107.298049,2015-08-02,200,40094589,EMP2124
STR0079,MegaMart Express Jakarta Selatan 44,EXPRESS,Jakarta Selatan,DKI Jakarta,JABODETABEK,-5.300777,106.198721,2015-03-25,300,30452412,EMP4908
STR0080,MegaMart Express Solo 45,EXPRESS,Solo,Jawa Tengah,JAWA_TENGAH,-5.861082,106.927939,2017-06-11,200,44392446,EMP7043
STR0081,MegaMart Express Magelang 46,EXPRESS,Magelang,Jawa Tengah,JAWA_TENGAH,-5.985505,107.295851,2016-04-14,100,51746937,EMP2771
STR0082,MegaMart Express Yogyakarta 47,EXPRESS,Yogyakarta,Yogyakarta,YOGYAKARTA,-5.342226,106.951593,2019-03-18,200,36619372,EMP2245
STR0083,MegaMart Express Yogyakarta 48,EXPRESS,Yogyakarta,Yogyakarta,YOGYAKARTA,-6.996197,107.344962,2024-07-14,300,90585882,EMP2983
STR0084,MegaMart Express Yogyakarta 49,EXPRESS,Yogyakarta,Yogyakarta,YOGYAKARTA,-6.505592,106.656756,2019-02-26,100,77908907,EMP6590
STR0085,MegaMart Express Jakarta Timur 50,EXPRESS,Jakarta Timur,DKI Jakarta,JABODETABEK,-5.555338,106.011078,2019-01-23,300,71705170,EMP3506
STR0086,MegaMart Express Makassar 51,EXPRESS,Makassar,Sulawesi Selatan,SULAWESI_SELATAN,-5.732409,107.730947,2018-01-11,300,82232344,EMP8921
STR0087,MegaMart Express Badung 52,EXPRESS,Badung,Bali,BALI,-5.548531,106.984949,2018-08-13,100,21631697,EMP5569
STR0088,MegaMart Express Denpasar 53,EXPRESS,Denpasar,Bali,BALI,-5.699047,106.939699,2022-06-29,200,55150390,EMP1470
STR0089,MegaMart Express Badung 54,EXPRESS,Badung,Bali,BALI,-6.83632,106.22424,2023-12-12,200,55679506,EMP5581
STR0090,MegaMart Express Sleman 55,EXPRESS,Sleman,Yogyakarta,YOGYAKARTA,-6.088418,106.833255,2017-02-21,100,42394260,EMP7658
STR0091,MegaMart Express Denpasar 56,EXPRESS,Denpasar,Bali,BALI,-5.818781,107.091806,2020-07-03,200,12314351,EMP2524
STR0092,MegaMart Express Tangerang 57,EXPRESS,Tangerang,Banten,JABODETABEK,-6.391198,106.28661,2022-06-12,300,59529086,EMP8753
STR0093,MegaMart Express Samarinda 58,EXPRESS,Samarinda,Kalimantan Timur,KALIMANTAN_TIMUR,-6.348992,107.291871,2018-09-16,200,70900658,EMP5438
STR0094,MegaMart Express Tangerang Selatan 59,EXPRESS,Tangerang Selatan,Banten,JABODETABEK,-6.738924,107.242569,2018-07-16,100,81922443,EMP4033
STR0095,MegaMart Express Surabaya 60,EXPRESS,Surabaya,Jawa Timur,JAWA_TIMUR,-5.722791,106.352999,2021-08-11,300,90099897,EMP5636
STR0096,MegaMart Express Bekasi 61,EXPRESS,Bekasi,Jawa Barat,JABODETABEK,-6.607507,106.521762,2018-05-23,100,81690398,EMP3073
STR0097,MegaMart Express Tangerang 62,EXPRESS,Tangerang,Banten,JABODETABEK,-5.25141,106.906718,2022-10-27,100,95613415,EMP9042
STR0098,MegaMart Express Bandung 63,EXPRESS,Bandung,Jawa Barat,JABODETABEK,-6.051872,106.738794,2019-12-10,200,34744872,EMP1841
STR0099,MegaMart Express Tangerang Selatan 64,EXPRESS,Tangerang Selatan,Banten,JABODETABEK,-6.971826,105.930687,2020-07-07,100,87446468,EMP1878
STR0100,MegaMart Express Semarang 65,EXPRESS,Semarang,Jawa Tengah,JAWA_TENGAH,-5.577716,107.698251,2015-12-15,100,25898299,EMP7818
STR0101,MegaMart Express Yogyakarta 66,EXPRESS,Yogyakarta,Yogyakarta,YOGYAKARTA,-5.648613,106.560756,2019-12-19,200,88990506,EMP8025
STR0102,MegaMart Express Serang 67,EXPRESS,Serang,Banten,JABODETABEK,-5.957945,107.019262,2023-04-20,100,37888820,EMP4457
STR0103,MegaMart Express Serang 68,EXPRESS,Serang,Banten,JABODETABEK,-7.037625,106.27973,2021-03-10,100,31009452,EMP1043
STR0104,MegaMart Express Makassar 69,EXPRESS,Makassar,Sulawesi Selatan,SULAWESI_SELATAN,-5.821258,106.739825,2015-05-14,100,48668783,EMP5632
STR0105,MegaMart Express Denpasar 70,EXPRESS,Denpasar,Bali,BALI,-5.82523,107.647822,2023-11-01,300,89160218,EMP4241
STR0106,MegaMart Express Makassar 71,EXPRESS,Makassar,Sulawesi Selatan,SULAWESI_SELATAN,-6.110875,107.095269,2017-12-24,100,19584466,EMP1977
STR0107,MegaMart Express Solo 72,EXPRESS,Solo,Jawa Tengah,JAWA_TENGAH,-6.009912,107.448481,2018-03-28,200,26690465,EMP8679
STR0108,MegaMart Express Serang 73,EXPRESS,Serang,Banten,JABODETABEK,-6.394983,106.344492,2021-01-20,200,68755000,EMP2317
STR0109,MegaMart Express Yogyakarta 74,EXPRESS,Yogyakarta,Yogyakarta,YOGYAKARTA,-5.421154,107.269068,2021-10-08,200,13471527,EMP2496
STR0110,MegaMart Express Sidoarjo 75,EXPRESS,Sidoarjo,Jawa Timur,JAWA_TIMUR,-5.528083,106.950398,2015-03-26,300,46173157,EMP1659
STR0111,MegaMart Express Solo 76,EXPRESS,Solo,Jawa Tengah,JAWA_TENGAH,-6.162072,106.684459,2018-02-13,100,88561612,EMP8141
STR0112,MegaMart Express Denpasar 77,EXPRESS,Denpasar,Bali,BALI,-6.259979,106.616696,2018-08-08,300,24039158,EMP3634
STR0113,MegaMart Express Binjai 78,EXPRESS,Binjai,Sumatera Utara,SUMATERA_UTARA,-5.812653,106.376436,2019-06-29,300,14925405,EMP8451
STR0114,MegaMart Express Depok 79,EXPRESS,Depok,Jawa Barat,JABODETABEK,-6.695202,106.031843,2023-08-31,200,79067939,EMP1018
STR0115,MegaMart Express Samarinda 80,EXPRESS,Samarinda,Kalimantan Timur,KALIMANTAN_TIMUR,-6.373505,106.175165,2019-01-21,300,76906611,EMP8242
STR0116,MegaMart Express Jakarta Pusat 81,EXPRESS,Jakarta Pusat,DKI Jakarta,JABODETABEK,-6.665888,106.062026,2018-03-25,200,75056916,EMP2989
STR0117,MegaMart Express Jakarta Utara 82,EXPRESS,Jakarta Utara,DKI Jakarta,JABODETABEK,-5.601373,107.219566,2018-06-26,300,11835355,EMP7684
STR0118,MegaMart Express Bekasi 83,EXPRESS,Bekasi,Jawa Barat,JABODETABEK,-5.215486,107.62586,2020-03-05,100,96934122,EMP3522
STR0119,MegaMart Express Badung 84,EXPRESS,Badung,Bali,BALI,-6.182256,106.34685,2024-05-12,200,73380266,EMP4993
STR0120,MegaMart Express Denpasar 85,EXPRESS,Denpasar,Bali,BALI,-6.432828,107.643736,2020-09-12,300,28321839,EMP2143
STR0121,MegaMart Express Tangerang Selatan 86,EXPRESS,Tangerang Selatan,Banten,JABODETABEK,-6.52025,107.375435,2017-12-30,100,47962005,EMP5891
STR0122,MegaMart Express Sleman 87,EXPRESS,Sleman,Yogyakarta,YOGYAKARTA,-5.469479,106.693095,2020-06-06,200,54619335,EMP9903
STR0123,MegaMart Express Makassar 88,EXPRESS,Makassar,Sulawesi Selatan,SULAWESI_SELATAN,-5.334295,107.539203,2022-10-27,100,86745380,EMP7274
STR0124,MegaMart Express Malang 89,EXPRESS,Malang,Jawa Timur,JAWA_TIMUR,-7.112705,107.28941,2022-11-28,200,61818612,EMP3492
STR0125,MegaMart Express Denpasar 90,EXPRESS,Denpasar,Bali,BALI,-6.947507,107.730707,2018-09-21,100,69096899,EMP2633
STR0126,MegaMart Express Samarinda 91,EXPRESS,Samarinda,Kalimantan Timur,KALIMANTAN_TIMUR,-7.169305,106.088311,2024-10-07,300,30718012,EMP2225
STR0127,MegaMart Express Badung 92,EXPRESS,Badung,Bali,BALI,-6.522878,107.185409,2022-04-15,100,54099326,EMP9742
STR0128,MegaMart Express Makassar 93,EXPRESS,Makassar,Sulawesi Selatan,SULAWESI_SELATAN,-5.946402,107.574877,2020-06-21,300,14818295,EMP2121
STR0129,MegaMart Express Sidoarjo 94,EXPRESS,Sidoarjo,Jawa Timur,JAWA_TIMUR,-5.831201,106.374758,2017-07-20,300,22130508,EMP8110
STR0130,MegaMart Express Bandung 95,EXPRESS,Bandung,Jawa Barat,JABODETABEK,-6.312643,107.188002,2015-04-29,100,53536830,EMP1919
STR0131,MegaMart Express Tangerang Selatan 96,EXPRESS,Tangerang Selatan,Banten,JABODETABEK,-6.450318,106.09114,2020-12-15,200,85957578,EMP3950
STR0132,MegaMart Express Semarang 97,EXPRESS,Semarang,Jawa Tengah,JAWA_TENGAH,-7.042063,107.541679,2021-12-13,300,42323627,EMP9153
STR0133,MegaMart Express Yogyakarta 98,EXPRESS,Yogyakarta,Yogyakarta,YOGYAKARTA,-6.735623,107.075809,2020-02-26,200,99501846,EMP1153
STR0134,MegaMart Express Badung 99,EXPRESS,Badung,Bali,BALI,-5.844778,106.115951,2019-12-15,200,88862539,EMP5901
STR0135,MegaMart Express Makassar 100,EXPRESS,Makassar,Sulawesi Selatan,SULAWESI_SELATAN,-6.286328,106.404243,2019-04-25,200,24314759,EMP4886
STR0136,MegaMart Express Makassar 101,EXPRESS,Makassar,Sulawesi Selatan,SULAWESI_SELATAN,-6.050376,107.785384,2018-04-24,100,98346110,EMP7484
STR0137,MegaMart Express Tangerang 102,EXPRESS,Tangerang,Banten,JABODETABEK,-6.068142,107.171599,2023-05-09,100,91390501,EMP9138
STR0138,MegaMart Express Tangerang 103,EXPRESS,Tangerang,Banten,JABODETABEK,-5.98587,106.504642,2022-02-20,100,93334601,EMP5106
STR0139,MegaMart Express Magelang 104,EXPRESS,Magelang,Jawa Tengah,JAWA_TENGAH,-7.005672,107.054916,2015-06-11,200,69166287,EMP1546
STR0140,MegaMart Express Sleman 105,EXPRESS,Sleman,Yogyakarta,YOGYAKARTA,-5.73528,105.980267,2018-04-23,200,65767881,EMP3877
STR0141,MegaMart Express Surabaya 106,EXPRESS,Surabaya,Jawa Timur,JAWA_TIMUR,-5.626974,107.552921,2019-02-07,300,77349752,EMP5465
STR0142,MegaMart Express Solo 107,EXPRESS,Solo,Jawa Tengah,JAWA_TENGAH,-5.371902,107.688376,2024-01-17,200,55461591,EMP2886
STR0143,MegaMart Express Denpasar 108,EXPRESS,Denpasar,Bali,BALI,-6.918486,107.733,2024-08-24,300,63339667,EMP6992
STR0144,MegaMart Express Bogor 109,EXPRESS,Bogor,Jawa Barat,JABODETABEK,-7.172163,106.873145,2020-02-06,200,45186708,EMP7242
STR0145,MegaMart Express Medan 110,EXPRESS,Medan,Sumatera Utara,SUMATERA_UTARA,-5.850327,106.742954,2021-12-12,300,54024257,EMP4626
STR0146,MegaMart Express Bogor 111,EXPRESS,Bogor,Jawa Barat,JABODETABEK,-5.381225,106.40438,2019-07-31,100,28760553,EMP1742
STR0147,MegaMart Express Jakarta Barat 112,EXPRESS,Jakarta Barat,DKI Jakarta,JABODETABEK,-5.208145,106.032241,2017-08-19,300,28208520,EMP7367
STR0148,MegaMart Express Badung 113,EXPRESS,Badung,Bali,BALI,-5.859028,107.28628,2021-01-21,200,88831486,EMP3531
STR0149,MegaMart Express Makassar 114,EXPRESS,Makassar,Sulawesi Selatan,SULAWESI_SELATAN,-5.532614,107.031304,2018-02-19,100,59731689,EMP4559
STR0150,MegaMart Express Badung 115,EXPRESS,Badung,Bali,BALI,-5.29889,107.5109,2016-02-11,300,59302863,EMP9920
STR0151,MegaMart Express Medan 116,EXPRESS,Medan,Sumatera Utara,SUMATERA_UTARA,-6.403721,106.179617,2016-05-15,200,22304198,EMP4475
STR0152,MegaMart Express Yogyakarta 117,EXPRESS,Yogyakarta,Yogyakarta,YOGYAKARTA,-7.098843,106.467018,2016-05-30,300,37542226,EMP2124
STR0153,MegaMart Express Balikpapan 118,EXPRESS,Balikpapan,Kalimantan Timur,KALIMANTAN_TIMUR,-6.027234,107.426106,2017-08-12,200,29804386,EMP1046
STR0154,MegaMart Express Tangerang 119,EXPRESS,Tangerang,Banten,JABODETABEK,-5.224945,106.880431,2023-12-15,100,24754064,EMP1422
STR0155,MegaMart Express Semarang 120,EXPRESS,Semarang,Jawa Tengah,JAWA_TENGAH,-6.483515,107.376863,2021-08-08,200,12118101,EMP3854
STR0156,MegaMart Express Tangerang 121,EXPRESS,Tangerang,Banten,JABODETABEK,-6.946483,106.641921,2016-04-10,300,18530615,EMP8802
STR0157,MegaMart Express Badung 122,EXPRESS,Badung,Bali,BALI,-6.173524,106.018108,2020-08-25,100,92558242,EMP1710
STR0158,MegaMart Express Samarinda 123,EXPRESS,Samarinda,Kalimantan Timur,KALIMANTAN_TIMUR,-6.283915,107.728052,2015-09-07,200,63904155,EMP7984
STR0159,MegaMart Express Bogor 124,EXPRESS,Bogor,Jawa Barat,JABODETABEK,-5.775197,106.687125,2015-11-27,200,91644298,EMP3430
STR0160,MegaMart Express Bekasi 125,EXPRESS,Bekasi,Jawa Barat,JABODETABEK,-6.649968,107.066153,2021-02-24,300,53645651,EMP7240
STR0161,MegaMart Express Sleman 126,EXPRESS,Sleman,Yogyakarta,YOGYAKARTA,-6.292569,107.010854,2016-02-11,300,25356396,EMP4522
STR0162,MegaMart Express Makassar 127,EXPRESS,Makassar,Sulawesi Selatan,SULAWESI_SELATAN,-5.423818,106.627627,2024-04-12,200,63516659,EMP7815
STR0163,MegaMart Express Depok 128,EXPRESS,Depok,Jawa Barat,JABODETABEK,-6.346472,107.130216,2019-03-14,100,73655158,EMP2099
STR0164,MegaMart Express Bandung 129,EXPRESS,Bandung,Jawa Barat,JABODETABEK,-7.01354,105.993129,2023-04-15,200,27463800,EMP1982
STR0165,MegaMart Express Sleman 130,EXPRESS,Sleman,Yogyakarta,YOGYAKARTA,-5.859973,106.621617,2024-10-18,300,66765623,EMP1842
STR0166,MegaMart Express Serang 131,EXPRESS,Serang,Banten,JABODETABEK,-6.575102,106.007201,2020-09-09,100,30767532,EMP8900
STR0167,MegaMart Express Surabaya 132,EXPRESS,Surabaya,Jawa Timur,JAWA_TIMUR,-6.499772,106.912531,2016-04-15,200,87054398,EMP4705
STR0168,MegaMart Express Makassar 133,EXPRESS,Makassar,Sulawesi Selatan,SULAWESI_SELATAN,-5.98201,107.115662,2022-10-11,200,13886030,EMP3955
STR0169,MegaMart Express Serang 134,EXPRESS,Serang,Banten,JABODETABEK,-5.675181,107.643075,2018-12-08,100,34347841,EMP3347
STR0170,MegaMart Express Sleman 135,EXPRESS,Sleman,Yogyakarta,YOGYAKARTA,-7.060829,107.281938,2015-05-06,100,81200181,EMP4524
